접수년도,접수월,접수요일,동물종류,총건수,입양건수,입양률
2019,11,Sunday,기타축종,7,6,85.71
2019,11,Thursday,개,1030,310,30.1
2019,11,Thursday,고양이,269,86,31.97
2019,11,Thursday,기타,63,11,17.46
2019,11,Thursday,기타축종,15,8,53.33
2019,11,Tuesday,개,1254,352,28.07
2019,11,Tuesday,고양이,326,129,39.57
2019,11,Tuesday,기타,62,13,20.97
2019,11,Tuesday,기타축종,10,9,90.0
2019,11,Wednesday,개,1204,338,28.07
2019,11,Wednesday,고양이,310,133,42.9
2019,11,Wednesday,기타,43,7,16.28
2019,11,Wednesday,기타축종,19,14,73.68
2019,12,Friday,개,994,242,24.35
2019,12,Friday,고양이,149,50,33.56
2019,12,Friday,기타,59,10,16.95
2019,12,Friday,기타축종,3,3,100.0
2019,12,Monday,개,1712,528,30.84
2019,12,Monday,고양이,225,94,41.78
2019,12,Monday,기타,69,16,23.19
2019,12,Monday,기타축종,33,28,84.85
2019,12,Saturday,개,582,207,35.57
2019,12,Saturday,고양이,92,38,41.3
2019,12,Saturday,기타,12,3,25.0
2019,12,Saturday,기타축종,4,2,50.0
2019,12,Sunday,개,450,152,33.78
2019,12,Sunday,고양이,58,16,27.59
2019,12,Sunday,기타,17,6,35.29
2019,12,Sunday,기타축종,4,4,100.0
2019,12,Thursday,개,1109,313,28.22
2019,12,Thursday,고양이,170,61,35.88
2019,12,Thursday,기타,41,10,24.39
2019,12,Thursday,기타축종,11,7,63.64
2019,12,Tuesday,개,1527,443,29.01
2019,12,Tuesday,고양이,229,79,34.5
2019,12,Tuesday,기타,51,10,19.61
2019,12,Tuesday,기타축종,15,7,46.67
2019,12,Wednesday,개,947,269,28.41
2019,12,Wednesday,고양이,147,58,39.46
2019,12,Wednesday,기타,29,6,20.69
2019,12,Wednesday,기타축종,18,14,77.78
2020,1,Friday,개,1430,448,31.33
2020,1,Friday,고양이,135,51,37.78
2020,1,Friday,기타,57,11,19.3
2020,1,Friday,기타축종,9,8,88.89
2020,1,Monday,개,1318,392,29.74
2020,1,Monday,고양이,135,56,41.48
2020,1,Monday,기타,55,17,30.91
2020,1,Monday,기타축종,21,21,100.0
2020,1,Saturday,개,604,213,35.26
2020,1,Saturday,고양이,95,42,44.21
2020,1,Saturday,기타,23,4,17.39
2020,1,Saturday,기타축종,2,2,100.0
2020,1,Sunday,개,423,117,27.66
2020,1,Sunday,고양이,52,14,26.92
2020,1,Sunday,기타,20,4,20.0
2020,1,Sunday,기타축종,27,17,62.96
2020,1,Thursday,개,1734,515,29.7
2020,1,Thursday,고양이,184,55,29.89
2020,1,Thursday,기타,49,17,34.69
2020,1,Thursday,기타축종,18,16,88.89
2020,1,Tuesday,개,1350,394,29.19
2020,1,Tuesday,고양이,140,51,36.43
2020,1,Tuesday,기타,47,4,8.51
2020,1,Tuesday,기타축종,12,9,75.0
2020,1,Wednesday,개,1661,473,28.48
2020,1,Wednesday,고양이,185,75,40.54
2020,1,Wednesday,기타,53,11,20.75
2020,1,Wednesday,기타축종,22,20,90.91
2020,2,Friday,개,1305,412,31.57
2020,2,Friday,고양이,117,49,41.88
2020,2,Friday,기타,31,11,35.48
2020,2,Friday,기타축종,15,10,66.67
2020,2,Monday,개,1624,482,29.68
2020,2,Monday,고양이,151,68,45.03
2020,2,Monday,기타,54,9,16.67
2020,2,Monday,기타축종,18,13,72.22
2020,2,Saturday,개,867,279,32.18
2020,2,Saturday,고양이,83,36,43.37
2020,2,Saturday,기타,25,11,44.0
2020,2,Saturday,기타축종,9,7,77.78
2020,2,Sunday,개,390,137,35.13
2020,2,Sunday,고양이,30,10,33.33
2020,2,Sunday,기타,24,14,58.33
2020,2,Sunday,기타축종,2,2,100.0
2020,2,Thursday,개,1301,364,27.98
2020,2,Thursday,고양이,142,60,42.25
2020,2,Thursday,기타,29,10,34.48
2020,2,Thursday,기타축종,11,9,81.82
2020,2,Tuesday,개,1255,411,32.75
2020,2,Tuesday,고양이,124,51,41.13
2020,2,Tuesday,기타,37,12,32.43
2020,2,Tuesday,기타축종,10,7,70.0
2020,2,Wednesday,개,1225,402,32.82
2020,2,Wednesday,고양이,117,48,41.03
2020,2,Wednesday,기타,29,9,31.03
2020,2,Wednesday,기타축종,11,10,90.91
2020,3,Friday,개,1230,388,31.54
2020,3,Friday,고양이,153,64,41.83
2020,3,Friday,기타,34,15,44.12
2020,3,Friday,기타축종,12,9,75.0
2020,3,Monday,개,2112,643,30.45
2020,3,Monday,고양이,186,81,43.55
2020,3,Monday,기타,66,25,37.88
2020,3,Monday,기타축종,24,17,70.83
2020,3,Saturday,개,707,247,34.94
2020,3,Saturday,고양이,95,36,37.89
2020,3,Saturday,기타,28,9,32.14
2020,3,Saturday,기타축종,8,8,100.0
2020,3,Sunday,개,578,223,38.58
2020,3,Sunday,고양이,73,39,53.42
2020,3,Sunday,기타,22,8,36.36
2020,3,Sunday,기타축종,4,4,100.0
2020,3,Thursday,개,1063,338,31.8
2020,3,Thursday,고양이,132,75,56.82
2020,3,Thursday,기타,39,18,46.15
2020,3,Thursday,기타축종,11,7,63.64
2020,3,Tuesday,개,1713,567,33.1
2020,3,Tuesday,고양이,217,80,36.87
2020,3,Tuesday,기타,56,12,21.43
2020,3,Tuesday,기타축종,28,19,67.86
2020,3,Wednesday,개,1263,457,36.18
2020,3,Wednesday,고양이,137,55,40.15
2020,3,Wednesday,기타,44,14,31.82
2020,3,Wednesday,기타축종,16,11,68.75
2020,4,Friday,개,1051,351,33.4
2020,4,Friday,고양이,295,155,52.54
2020,4,Friday,기타,41,12,29.27
2020,4,Friday,기타축종,16,13,81.25
2020,4,Monday,개,1393,454,32.59
2020,4,Monday,고양이,361,196,54.29
2020,4,Monday,기타,56,15,26.79
2020,4,Monday,기타축종,15,11,73.33
2020,4,Saturday,개,693,256,36.94
2020,4,Saturday,고양이,185,88,47.57
2020,4,Saturday,기타,38,24,63.16
2020,4,Saturday,기타축종,15,12,80.0
2020,4,Sunday,개,375,100,26.67
2020,4,Sunday,고양이,118,62,52.54
2020,4,Sunday,기타,24,14,58.33
2020,4,Sunday,기타축종,9,7,77.78
2020,4,Thursday,개,1366,485,35.51
2020,4,Thursday,고양이,353,173,49.01
2020,4,Thursday,기타,79,35,44.3
2020,4,Thursday,기타축종,22,15,68.18
2020,4,Tuesday,개,1279,410,32.06
2020,4,Tuesday,고양이,330,148,44.85
2020,4,Tuesday,기타,52,28,53.85
2020,4,Tuesday,기타축종,32,27,84.38
2020,4,Wednesday,개,1329,434,32.66
2020,4,Wednesday,고양이,336,176,52.38
2020,4,Wednesday,기타,62,30,48.39
2020,4,Wednesday,기타축종,36,31,86.11
2020,5,Friday,개,1324,485,36.63
2020,5,Friday,고양이,753,303,40.24
2020,5,Friday,기타,97,32,32.99
2020,5,Friday,기타축종,34,17,50.0
2020,5,Monday,개,1646,558,33.9
2020,5,Monday,고양이,807,343,42.5
2020,5,Monday,기타,114,50,43.86
2020,5,Monday,기타축종,20,17,85.0
2020,5,Saturday,개,744,258,34.68
2020,5,Saturday,고양이,425,168,39.53
2020,5,Saturday,기타,43,23,53.49
2020,5,Saturday,기타축종,19,14,73.68
2020,5,Sunday,개,516,175,33.91
2020,5,Sunday,고양이,234,92,39.32
2020,5,Sunday,기타,38,18,47.37
2020,5,Sunday,기타축종,11,10,90.91
2020,5,Thursday,개,1176,428,36.39
2020,5,Thursday,고양이,656,254,38.72
2020,5,Thursday,기타,63,25,39.68
2020,5,Thursday,기타축종,24,19,79.17
2020,5,Tuesday,개,1068,373,34.93
2020,5,Tuesday,고양이,589,250,42.44
2020,5,Tuesday,기타,60,25,41.67
2020,5,Tuesday,기타축종,24,23,95.83
2020,5,Wednesday,개,1285,430,33.46
2020,5,Wednesday,고양이,678,323,47.64
2020,5,Wednesday,기타,101,39,38.61
2020,5,Wednesday,기타축종,23,16,69.57
2020,6,Friday,개,1093,309,28.27
2020,6,Friday,고양이,670,221,32.99
2020,6,Friday,기타,80,14,17.5
2020,6,Friday,기타축종,30,22,73.33
2020,6,Monday,개,1684,541,32.13
2020,6,Monday,고양이,1005,309,30.75
2020,6,Monday,기타,117,19,16.24
2020,6,Monday,기타축종,36,28,77.78
2020,6,Saturday,개,638,212,33.23
2020,6,Saturday,고양이,414,124,29.95
2020,6,Saturday,기타,57,15,26.32
2020,6,Saturday,기타축종,15,12,80.0
2020,6,Sunday,개,396,132,33.33
2020,6,Sunday,고양이,222,55,24.77
