접수년도,접수월,종료사유_정제,건수
2020,7,안락사,3090
2020,7,입양,4039
2020,7,자연사,4599
2020,8,기증,205
2020,8,반환,1464
2020,8,방사,119
2020,8,안락사,2699
2020,8,입양,3924
2020,8,자연사,3799
2020,9,기증,160
2020,9,기타,1
2020,9,반환,1353
2020,9,방사,139
2020,9,안락사,2440
2020,9,입양,3817
2020,9,자연사,3553
2020,10,기증,173
2020,10,반환,1178
2020,10,방사,125
2020,10,안락사,2257
2020,10,입양,3601
2020,10,자연사,3255
2020,11,기증,136
2020,11,기타,13
2020,11,반환,1112
2020,11,방사,80
2020,11,안락사,2035
2020,11,입양,3193
2020,11,자연사,2366
2020,12,기증,160
2020,12,기타,8
2020,12,반환,926
2020,12,방사,52
2020,12,안락사,1723
2020,12,입양,3027
2020,12,자연사,1819
2021,1,기증,120
2021,1,기타,1
2021,1,반환,958
2021,1,방사,61
2021,1,안락사,1808
2021,1,입양,3080
2021,1,자연사,1696
2021,2,기증,121
2021,2,반환,923
2021,2,방사,65
2021,2,안락사,1737
2021,2,입양,2739
2021,2,자연사,1537
2021,3,기증,220
2021,3,반환,1203
2021,3,방사,91
2021,3,안락사,2023
2021,3,입양,3492
2021,3,자연사,1867
2021,4,기증,128
2021,4,반환,1202
2021,4,방사,98
2021,4,안락사,1796
2021,4,입양,3810
2021,4,자연사,2338
2021,5,기증,176
2021,5,반환,1282
2021,5,방사,179
2021,5,안락사,1739
2021,5,입양,4393
2021,5,자연사,3379
2021,6,기증,184
2021,6,기타,1
2021,6,반환,1283
2021,6,방사,180
2021,6,안락사,2106
2021,6,입양,4048
2021,6,자연사,4008
2021,7,기증,224
2021,7,반환,1364
2021,7,방사,126
2021,7,안락사,2081
2021,7,입양,3869
2021,7,자연사,3544
2021,8,기증,222
2021,8,반환,1360
2021,8,방사,151
2021,8,안락사,2038
2021,8,입양,3674
2021,8,자연사,3080
2021,9,기증,164
2021,9,반환,1231
2021,9,방사,123
2021,9,안락사,1983
2021,9,입양,3601
2021,9,자연사,3356
2021,10,기증,195
2021,10,반환,1200
2021,10,방사,148
2021,10,안락사,1976
2021,10,입양,3627
2021,10,자연사,3534
2021,11,기증,176
2021,11,기타,2
2021,11,반환,1103
2021,11,방사,89
2021,11,안락사,1895
2021,11,입양,3360
2021,11,자연사,2771
2021,12,기증,188
2021,12,기타,5
2021,12,반환,1059
2021,12,방사,92
2021,12,안락사,1878
2021,12,입양,2748
2021,12,자연사,2259
2022,1,기증,251
2022,1,기타,1
2022,1,반환,882
2022,1,방사,66
2022,1,안락사,1711
2022,1,입양,2613
2022,1,자연사,1885
2022,2,기증,171
2022,2,기타,17
2022,2,반환,831
2022,2,방사,71
2022,2,안락사,1610
2022,2,입양,2317
2022,2,자연사,1389
2022,3,기증,209
2022,3,기타,24
2022,3,반환,1069
2022,3,방사,106
2022,3,안락사,2057
2022,3,입양,2802
2022,3,자연사,1606
2022,4,기증,192
2022,4,기타,12
2022,4,반환,1287
2022,4,방사,122
2022,4,안락사,2040
2022,4,입양,3364
2022,4,자연사,2318
2022,5,기증,289
2022,5,반환,1349
2022,5,방사,186
2022,5,안락사,2215
2022,5,입양,3802
2022,5,자연사,3879
2022,6,기증,281
2022,6,반환,1318
2022,6,방사,247
2022,6,안락사,2099
2022,6,입양,3340
2022,6,자연사,3976
2022,7,기증,365
2022,7,반환,1344
2022,7,방사,275
2022,7,안락사,2238
2022,7,입양,3155
2022,7,자연사,3792
2022,8,기증,336
2022,8,반환,1427
2022,8,방사,193
2022,8,안락사,2241
2022,8,입양,3084
2022,8,자연사,3343
2022,9,기증,321
2022,9,반환,1318
2022,9,방사,229
2022,9,안락사,1982
2022,9,입양,2837
2022,9,자연사,3371
2022,10,기증,308
2022,10,반환,1217
2022,10,방사,204
2022,10,안락사,1942
2022,10,입양,2814
2022,10,자연사,3257
2022,11,기증,324
2022,11,반환,1101
2022,11,방사,149
2022,11,안락사,2048
2022,11,입양,2653
2022,11,자연사,2680
2022,12,기증,283
2022,12,반환,938
2022,12,방사,104
2022,12,안락사,1722
2022,12,입양,2030
2022,12,자연사,2043
2023,1,기증,286
2023,1,반환,944
2023,1,방사,74
2023,1,안락사,1827
2023,1,입양,2348
2023,1,자연사,1855
2023,2,기증,325
2023,2,반환,984
2023,2,방사,101
2023,2,안락사,2017
2023,2,입양,2223
2023,2,자연사,1587
2023,3,기증,339
2023,3,반환,1122
2023,3,방사,116
2023,3,안락사,2286
2023,3,입양,2424
2023,3,자연사,1787
2023,4,기증,368
2023,4,반환,1214
2023,4,방사,107
2023,4,안락사,1973
2023,4,입양,2639
2023,4,자연사,2327
2023,5,기증,485
2023,5,반환,1206
2023,5,방사,201
2023,5,안락사,2065
2023,5,입양,3289
2023,5,자연사,4032
2023,6,기증,361
2023,6,반환,1204
2023,6,방사,268
2023,6,안락사,2279
2023,6,입양,2854
2023,6,자연사,4001
2023,7,기증,516
2023,7,반환,1279
2023,7,방사,234
2023,7,안락사,2663
2023,7,입양,2836
2023,7,자연사,4009
2023,8,기증,440
2023,8,반환,1320
2023,8,방사,185
2023,8,안락사,2302
2023,8,입양,2476
2023,8,자연사,3252
2023,9,기증,343
2023,9,반환,1232
2023,9,방사,183
2023,9,안락사,2051
2023,9,입양,2422
2023,9,자연사,3287
2023,10,기증,392
2023,10,반환,1227
2023,10,방사,158
2023,10,안락사,2288
