품종,동물종류,총건수,입양건수,평균체중,평균나이,입양률
아메리칸 스태퍼드셔 테리어,개,19,3,18.45263157894737,2.0,15.79
저먼 와이어헤어드 포인터,개,19,4,18.45263157894737,3.1578947368421053,21.05
마스티프,개,18,7,36.721111111111114,4.333333333333333,38.89
제주개,기타,17,7,15.182352941176472,2.176470588235294,41.18
발리네즈,기타,17,10,3.7764705882352945,2.764705882352941,58.82
잉글리쉬 스프링거 스파니엘,개,16,9,16.64375,3.3125,56.25
플랫 코티드 리트리버,개,16,6,25.375,3.25,37.5
브리티쉬롱헤어,기타,15,9,4.6466666666666665,2.6,60.0
코카 푸,기타,15,7,6.7266666666666675,3.8,46.67
스태퍼드셔 불 테리어,개,15,5,20.896666666666665,3.0,33.33
폭스 테리어(와이어),개,15,4,6.406666666666666,3.7333333333333334,26.67
꼬똥 드 뚤레아,기타,15,5,5.586666666666667,4.2,33.33
셀커크 렉스,기타,14,13,3.5207142857142855,2.7857142857142856,92.86
데본 렉스,기타,14,11,3.136428571428571,2.0,78.57
벨기에 쉽독,개,13,5,20.446153846153848,3.6153846153846154,38.46
라사 압소,기타,13,3,6.484615384615385,5.615384615384615,23.08
카이훗,기타,13,4,28.4,3.769230769230769,30.77
버만,고양이,13,5,3.723076923076923,2.6923076923076925,38.46
실키테리어,개,12,4,3.7083333333333335,5.0,33.33
스코티시 디어하운드,고양이,11,2,24.027272727272727,2.3636363636363638,18.18
오스트랄리안 셰퍼드 독,개,11,3,19.518181818181816,1.5454545454545454,27.27
코리아 트라이 하운드,개,10,5,19.2,2.0,50.0
웨스트 시베리언 라이카,개,9,3,21.422222222222224,2.3333333333333335,33.33
코카시안 오브차카(코카시안 셰퍼드 독),개,8,1,43.25,3.5,12.5
차이니즈 크레스티드 독,기타,8,4,5.125,3.75,50.0
프렌치 브리타니,기타,8,1,15.7875,3.125,12.5
풀리,기타,8,4,7.5625,4.625,50.0
프레사까나리오,기타,7,2,28.571428571428573,2.142857142857143,28.57
