동물종류,나이그룹,성별,중성화 여부,시도,총건수,입양건수,평균체중,입양률
개,4-5세,암컷,중성화 X,서울특별시,290,87,8.019134948096886,30.0
개,4-5세,암컷,중성화 X,세종특별자치시,66,18,10.618181818181817,27.27
개,4-5세,암컷,중성화 X,울산광역시,423,55,10.642978723404255,13.0
개,4-5세,암컷,중성화 X,인천광역시,538,173,10.52046554934823,32.16
개,4-5세,암컷,중성화 X,전라남도,1591,327,11.10201131363922,20.55
개,4-5세,암컷,중성화 X,전북특별자치도,1313,507,9.017080792682927,38.61
개,4-5세,암컷,중성화 X,제주특별자치도,159,31,12.51139240506329,19.5
개,4-5세,암컷,중성화 X,충청남도,976,223,9.818716632443532,22.85
개,4-5세,암컷,중성화 X,충청북도,639,186,10.15450704225352,29.11
개,6-7세,미상,미상,강원특별자치도,10,0,12.42,0.0
개,6-7세,미상,미상,경기도,7,0,9.657142857142857,0.0
개,6-7세,미상,미상,경상남도,15,3,14.413333333333332,20.0
개,6-7세,미상,미상,경상북도,3,0,11.833333333333334,0.0
개,6-7세,미상,미상,대구광역시,13,0,14.076923076923077,0.0
개,6-7세,미상,미상,대전광역시,3,1,4.0,33.33
개,6-7세,미상,미상,부산광역시,11,3,7.118181818181818,27.27
개,6-7세,미상,미상,서울특별시,2,0,4.9,0.0
개,6-7세,미상,미상,울산광역시,28,0,14.775,0.0
개,6-7세,미상,미상,인천광역시,4,0,4.0,0.0
개,6-7세,미상,미상,전라남도,11,2,8.863636363636363,18.18
개,6-7세,미상,미상,전북특별자치도,6,0,8.016666666666667,0.0
개,6-7세,미상,미상,충청남도,4,0,5.666666666666667,0.0
개,6-7세,미상,미상,충청북도,14,3,10.392857142857142,21.43
개,6-7세,미상,중성화 X,강원특별자치도,2,0,3.5,0.0
개,6-7세,미상,중성화 X,경기도,5,0,6.8,0.0
개,6-7세,미상,중성화 X,경상남도,4,0,10.425,0.0
개,6-7세,미상,중성화 X,경상북도,3,0,14.333333333333334,0.0
개,6-7세,미상,중성화 X,부산광역시,1,0,4.0,0.0
개,6-7세,미상,중성화 X,울산광역시,12,2,15.133333333333333,16.67
개,6-7세,미상,중성화 X,전라남도,7,1,9.528571428571428,14.29
개,6-7세,미상,중성화 X,전북특별자치도,2,1,6.5,50.0
개,6-7세,미상,중성화 X,충청북도,23,1,6.813043478260869,4.35
개,6-7세,수컷,미상,강원특별자치도,324,46,10.836728395061728,14.2
개,6-7세,수컷,미상,경기도,183,35,10.268516483516484,19.13
개,6-7세,수컷,미상,경상남도,487,102,11.640862422997948,20.94
개,6-7세,수컷,미상,경상북도,124,28,12.621774193548386,22.58
개,6-7세,수컷,미상,광주광역시,32,6,8.15,18.75
개,6-7세,수컷,미상,대구광역시,14,2,11.428571428571429,14.29
개,6-7세,수컷,미상,대전광역시,121,18,9.48595041322314,14.88
개,6-7세,수컷,미상,부산광역시,410,84,9.11718826405868,20.49
개,6-7세,수컷,미상,서울특별시,28,5,6.621428571428572,17.86
개,6-7세,수컷,미상,세종특별자치시,21,8,11.031904761904762,38.1
개,6-7세,수컷,미상,울산광역시,10,1,19.22,10.0
개,6-7세,수컷,미상,인천광역시,52,20,7.64826923076923,38.46
개,6-7세,수컷,미상,전라남도,151,34,9.652666666666667,22.52
개,6-7세,수컷,미상,전북특별자치도,40,7,14.825,17.5
개,6-7세,수컷,미상,제주특별자치도,18,5,13.827777777777778,27.78
개,6-7세,수컷,미상,충청남도,197,38,10.211683673469388,19.29
개,6-7세,수컷,미상,충청북도,71,10,11.919718309859155,14.08
개,6-7세,수컷,중성화 O,강원특별자치도,91,22,6.011758241758241,24.18
개,6-7세,수컷,중성화 O,경기도,1092,281,6.843532110091743,25.73
개,6-7세,수컷,중성화 O,경상남도,193,54,6.505235602094241,27.98
개,6-7세,수컷,중성화 O,경상북도,170,58,6.578294117647059,34.12
개,6-7세,수컷,중성화 O,광주광역시,143,38,6.108671328671329,26.57
개,6-7세,수컷,중성화 O,대구광역시,136,34,6.4825,25.0
개,6-7세,수컷,중성화 O,대전광역시,12,1,7.5249999999999995,8.33
개,6-7세,수컷,중성화 O,부산광역시,144,35,5.12875,24.31
