보호소명,시도,시군구,총보호건수,입양건수,자연사건수,안락사건수,반환건수,평균보호기간,개비율,고양이비율,입양률,안락사율,자연사율
열린동물병원,서울특별시,용산구,137,50,3,0,83,10.693430656934307,94.16058394160584,3.64963503649635,36.5,0.0,2.19
아프리카동물병원,전북특별자치도,전주시,136,48,21,7,60,9.397058823529411,69.11764705882352,25.735294117647058,35.29,5.15,15.44
내품애센터,서울특별시,서대문구,133,55,1,0,77,10.496240601503759,92.4812030075188,7.518796992481203,41.35,0.0,0.75
세인트동물병원,대구광역시,수성구,130,66,51,7,6,10.86923076923077,21.53846153846154,77.6923076923077,50.77,5.38,39.23
와우동물병원,울산광역시,울주군,122,14,59,47,1,10.819672131147541,71.31147540983606,28.688524590163933,11.48,38.52,48.36
이태원동물병원,서울특별시,용산구,119,35,12,0,71,10.478991596638656,68.90756302521008,27.73109243697479,29.41,0.0,10.08
종합동물병원,충청남도,청양군,114,43,9,42,13,7.254385964912281,95.6140350877193,3.508771929824561,37.72,36.84,7.89
구리시 반려돌봄센터,경기도,구리시,101,92,4,0,5,6.188118811881188,34.65346534653465,65.34653465346535,91.09,0.0,3.96
장수군 보호소,전북특별자치도,장수군,91,52,30,0,6,14.417582417582418,94.5054945054945,2.197802197802198,57.14,0.0,32.97
한국야생동물보호관리,경기도,의왕시,88,35,30,12,9,10.681818181818182,43.18181818181818,54.54545454545454,39.77,13.64,34.09
첨단우리동물병원,광주광역시,광산구,86,41,16,9,9,11.046511627906977,55.81395348837209,44.18604651162791,47.67,10.47,18.6
이상윤동물병원,서울특별시,용산구,83,53,12,0,18,10.53012048192771,10.843373493975903,87.95180722891565,63.86,0.0,14.46
초록동물병원,울산광역시,울주군,83,56,7,15,5,10.710843373493976,86.74698795180723,13.253012048192772,67.47,18.07,8.43
노원반려동물문화센터,서울특별시,노원구,80,35,0,0,17,6.8125,100.0,0.0,43.75,0.0,0.0
리틀쥬동물의료원,울산광역시,남구,80,38,32,1,4,10.3,12.5,67.5,47.5,1.25,40.0
미엘동물병원,경기도,파주시,78,57,4,0,12,10.35897435897436,92.3076923076923,6.41025641025641,73.08,0.0,5.13
정동물병원,경기도,수원시,78,29,6,21,22,7.397435897435898,78.2051282051282,16.666666666666664,37.18,26.92,7.69
금릉동물병원,경기도,파주시,76,44,6,3,11,10.473684210526315,80.26315789473685,19.736842105263158,57.89,3.95,7.89
주동물병원,충청남도,계룡시,76,24,4,35,13,10.421052631578947,98.68421052631578,0.0,31.58,46.05,5.26
부산동물보호센터,부산광역시,동구,75,20,44,3,8,10.533333333333333,50.66666666666667,44.0,26.67,4.0,58.67
사랑플러스동물병원,전북특별자치도,전주시,75,33,16,11,6,9.373333333333333,54.666666666666664,42.66666666666667,44.0,14.67,21.33
강북동물병원,충청남도,공주시,75,6,1,61,6,10.773333333333333,94.66666666666667,5.333333333333334,8.0,81.33,1.33
이솝동물병원,울산광역시,북구,68,17,28,5,4,10.470588235294118,58.82352941176471,38.23529411764706,25.0,7.35,41.18
울릉군농업기술센터,경상북도,울릉군,64,9,7,38,10,10.40625,98.4375,1.5625,14.06,59.38,10.94
에덴동물병원,경기도,수원시,62,20,4,17,19,7.258064516129032,90.32258064516128,9.67741935483871,32.26,27.42,6.45
영덕반려동물입양센터,경상북도,영덕군,62,48,8,0,0,10.725806451612904,17.741935483870968,82.25806451612904,77.42,0.0,12.9
울산유기동물입양센터,울산광역시,동구,62,53,8,1,0,10.258064516129032,0.0,100.0,85.48,1.61,12.9
전조동,경상남도,의령군,61,5,0,53,2,10.278688524590164,100.0,0.0,8.2,86.89,0.0
장안동물병원,경기도,수원시,60,24,0,9,26,7.233333333333333,85.0,6.666666666666667,40.0,15.0,0.0
제주에니시스(주),제주특별자치도,제주시,60,36,8,3,13,10.883333333333333,3.3333333333333335,0.0,60.0,5.0,13.33
대구시수의사회(원),대구광역시,중구,60,29,28,0,3,10.25,20.0,80.0,48.33,0.0,46.67
한빛동물병원,서울특별시,성동구,58,32,5,2,0,6.4655172413793105,1.7241379310344827,98.27586206896551,55.17,3.45,8.62
데이지동물병원,전북특별자치도,전주시,57,27,7,15,8,9.280701754385966,59.64912280701754,38.59649122807017,47.37,26.32,12.28
방실웃는 동물병원,경기도,수원시,56,31,4,5,16,7.214285714285714,64.28571428571429,33.92857142857143,55.36,8.93,7.14
수성동물병원,경기도,화성시,55,1,32,0,0,9.50909090909091,0.0,100.0,1.82,0.0,58.18
산타클라라동물병원,울산광역시,북구,55,1,37,0,0,11.072727272727272,7.2727272727272725,90.9090909090909,1.82,0.0,67.27
범서조은동물병원,울산광역시,울주군,54,34,3,0,17,10.962962962962964,98.14814814814815,0.0,62.96,0.0,5.56
펫토이동물병원,서울특별시,용산구,54,15,6,0,32,10.777777777777779,59.25925925925925,37.03703703703704,27.78,0.0,11.11
쿨펫 홈플러스 북구점,울산광역시,북구,54,26,6,13,9,10.333333333333334,18.51851851851852,81.48148148148148,48.15,24.07,11.11
현대동물병원,경기도,수원시,54,24,0,10,18,7.37037037037037,87.03703703703704,7.4074074074074066,44.44,18.52,0.0
레오동물병원,경기도,수원시,53,16,1,17,19,7.2075471698113205,92.45283018867924,1.8867924528301887,30.19,32.08,1.89
문산동물병원,경기도,파주시,53,30,1,0,14,10.754716981132075,94.33962264150944,3.7735849056603774,56.6,0.0,1.89
한빛동물병원,경기도,수원시,53,16,0,16,19,7.132075471698113,94.33962264150944,3.7735849056603774,30.19,30.19,0.0
광명반함센터,경기도,광명시,52,28,1,0,23,11.365384615384615,100.0,0.0,53.85,0.0,1.92
두리동물클리닉,경기도,수원시,51,34,5,0,11,7.235294117647059,49.01960784313725,39.21568627450981,66.67,0.0,9.8
닥터김 동물병원,경기도,수원시,50,24,1,13,11,7.34,78.0,22.0,48.0,26.0,2.0
연두동물병원,경기도,수원시,50,16,0,11,19,7.28,98.0,0.0,32.0,22.0,0.0
고병기동물병원,경기도,수원시,50,14,2,16,18,7.72,100.0,0.0,28.0,32.0,4.0
두리동물병원,경기도,수원시,50,10,0,16,24,7.22,98.0,0.0,20.0,32.0,0.0
동물사랑동물병원,경기도,수원시,48,18,0,14,16,7.208333333333333,91.66666666666666,8.333333333333332,37.5,29.17,0.0
나눔농장,경기도,부천시,46,40,0,0,5,10.608695652173912,17.391304347826086,0.0,86.96,0.0,0.0
광양동물메디컬센터,전라남도,광양시,46,37,2,2,4,10.217391304347826,91.30434782608695,8.695652173913043,80.43,4.35,4.35
신영통동물병원,경기도,수원시,45,15,2,16,12,7.511111111111111,93.33333333333333,0.0,33.33,35.56,4.44
정철동물병원,울산광역시,북구,44,22,17,2,3,10.590909090909092,9.090909090909092,88.63636363636364,50.0,4.55,38.64
강아지와 고양이,경기도,이천시,43,3,13,24,3,10.395348837209303,81.3953488372093,13.953488372093023,6.98,55.81,30.23
한남동물병원,서울특별시,용산구,41,16,9,1,13,10.804878048780488,34.146341463414636,58.536585365853654,39.02,2.44,21.95
한국고양이보호협회,서울특별시,서울특별시,40,0,0,0,0,10.45,0.0,97.5,0.0,0.0,0.0
원효동물병원,서울특별시,용산구,40,13,16,0,7,10.425,25.0,62.5,32.5,0.0,40.0
제주애견학교,제주특별자치도,제주시,34,23,11,0,0,11.176470588235293,0.0,0.0,67.65,0.0,32.35
청송동물보호센터,경상북도,청송군,33,0,1,31,0,11.181818181818182,93.93939393939394,6.0606060606060606,0.0,93.94,3.03
군포시청,경기도,군포시,33,16,4,3,7,11.454545454545455,66.66666666666666,24.242424242424242,48.48,9.09,12.12
광교산동물병원,경기도,수원시,33,4,1,18,10,7.393939393939394,84.84848484848484,6.0606060606060606,12.12,54.55,3.03
인천수의사회유기동물,인천광역시,강화군,31,13,2,10,0,10.0,96.7741935483871,0.0,41.94,32.26,6.45
강동구청 반려동물팀 ,서울특별시,강동구,31,4,1,0,26,10.67741935483871,83.87096774193549,0.0,12.9,0.0,3.23
동물자유연대,서울특별시,마포구,30,0,0,0,0,10.0,0.0,86.66666666666667,0.0,0.0,0.0
감자동물병원,대구광역시,수성구,30,21,7,0,2,10.766666666666667,23.333333333333332,76.66666666666667,70.0,0.0,23.33
효창동물병원,서울특별시,용산구,30,17,4,0,9,10.833333333333334,33.33333333333333,36.666666666666664,56.67,0.0,13.33
홍성반려동물문화센터,충청남도,홍성군,28,15,1,0,8,9.035714285714286,85.71428571428571,0.0,53.57,0.0,3.57
패밀리동물병원,전북특별자치도,전주시,28,14,2,5,4,9.75,89.28571428571429,10.714285714285714,50.0,17.86,7.14
유가축병원,전북특별자치도,진안군,24,10,4,8,0,10.541666666666666,79.16666666666666,20.833333333333336,41.67,33.33,16.67
가온동물병원,경기도,파주시,22,15,0,0,7,10.454545454545455,86.36363636363636,4.545454545454546,68.18,0.0,0.0
고양이보호분양센터,경상남도,통영시,21,13,8,0,0,8.428571428571429,0.0,100.0,61.9,0.0,38.1
광주첨단YB동물병원,광주광역시,북구,20,10,4,2,4,10.55,100.0,0.0,50.0,10.0,20.0
산타클라라동물병원,울산광역시,남구,20,2,7,0,1,10.1,5.0,95.0,10.0,0.0,35.0
성일동물병원,강원특별자치도,철원군,20,6,8,4,2,10.45,100.0,0.0,30.0,20.0,40.0
MK동물병원,울산광역시,울주군,20,14,0,0,6,10.9,100.0,0.0,70.0,0.0,0.0
늘푸른 동물병원,경기도,수원시,19,11,1,2,5,7.7368421052631575,73.68421052631578,26.31578947368421,57.89,10.53,5.26
사단법인 하얀비둘기,부산광역시,기장군,19,1,9,9,0,8.105263157894736,100.0,0.0,5.26,47.37,47.37
야당동물병원,경기도,파주시,19,16,0,2,1,11.105263157894736,89.47368421052632,10.526315789473683,84.21,10.53,0.0
구로 동물복지센터,서울특별시,마포구,19,16,0,0,0,10.0,0.0,89.47368421052632,84.21,0.0,0.0
준수동물병원,경기도,수원시,19,7,0,4,6,7.947368421052632,100.0,0.0,36.84,21.05,0.0
제2동물보호센터,제주특별자치도,제주시,19,15,3,0,0,10.947368421052632,100.0,0.0,78.95,0.0,15.79
망원동물병원,서울특별시,마포구,18,5,0,0,13,10.833333333333334,100.0,0.0,27.78,0.0,0.0
박창석동물병원,서울특별시,마포구,17,5,7,0,5,10.529411764705882,47.05882352941176,52.94117647058824,29.41,0.0,41.18
TNR동물병원,경상남도,창원시,17,9,0,0,6,10.882352941176471,100.0,0.0,52.94,0.0,0.0
광주동물보호센터,광주광역시,광주광역시,17,2,4,3,6,9.0,58.82352941176471,29.411764705882355,11.76,17.65,23.53
산타클라라동물병원,울산광역시,동구,16,2,13,0,1,10.25,12.5,87.5,12.5,0.0,81.25
조은동물병원,서울특별시,성동구,15,11,2,0,2,9.933333333333334,26.666666666666668,73.33333333333333,73.33,0.0,13.33
용강동물병원,서울특별시,마포구,15,6,1,1,7,10.866666666666667,73.33333333333333,20.0,40.0,6.67,6.67
24시센트럴동물메디컬,서울특별시,성동구,15,4,0,0,11,10.466666666666667,66.66666666666666,26.666666666666668,26.67,0.0,0.0
서울동물복지지원센터,서울특별시,마포구,14,2,0,0,0,10.571428571428571,50.0,50.0,14.29,0.0,0.0
민트동물병원,서울특별시,용산구,12,6,2,0,4,10.833333333333334,50.0,50.0,50.0,0.0,16.67
거창군 동물보호소,경상남도,거창군,12,6,3,2,1,10.75,83.33333333333334,16.666666666666664,50.0,16.67,25.0
바른길동물병원,경상북도,성주군,11,7,2,2,0,7.090909090909091,81.81818181818183,18.181818181818183,63.64,18.18,18.18
라온동물병원,서울특별시,용산구,11,6,1,0,4,10.636363636363637,27.27272727272727,45.45454545454545,54.55,0.0,9.09
라임동물병원,경기도,파주시,11,9,0,0,2,10.272727272727273,100.0,0.0,81.82,0.0,0.0
서울동물복지지원센터,서울특별시,광진구,10,2,0,0,0,11.0,10.0,90.0,20.0,0.0,0.0
임실 임시보호소,전북특별자치도,임실군,10,2,4,4,0,11.3,100.0,0.0,20.0,40.0,40.0
팻파라다이스,경기도,파주시,10,6,0,0,4,10.4,100.0,0.0,60.0,0.0,0.0
다나동물병원,광주광역시,광산구,9,1,7,0,0,9.88888888888889,22.22222222222222,77.77777777777779,11.11,0.0,77.78
사단법인 포유,울산광역시,북구,9,8,1,0,0,11.0,0.0,100.0,88.89,0.0,11.11
의왕시청,경기도,의왕시,8,5,2,1,0,10.0,50.0,50.0,62.5,12.5,25.0
경동동물병원,인천광역시,옹진군,8,2,0,0,0,14.125,100.0,0.0,25.0,0.0,0.0
제주동물보호센터,제주특별자치도,제주시,7,6,1,0,0,10.714285714285714,0.0,0.0,85.71,0.0,14.29
다나동물병원,광주광역시,북구,7,4,2,0,0,4.285714285714286,0.0,100.0,57.14,0.0,28.57
